     COD_PROGRAMA                                                                       DS_PROGRAMA
64         2628.0        OPERAÇÃO, CONSERVAÇÃO E SEGURANÇA DA INFRAESTRUTURA DE TRANSPORTE ESTADUAL
65         2629.0                                           PLANEJAMENTO DE LOGÍSTICA E TRANSPORTES
66         2630.0                                                            SUPORTE ADMINISTRATIVO
67         2701.0                   DEFESA DOS INTERESSES SOCIAIS E INDIVIDUAIS E DA ORDEM JURÍDICA
68         2811.0                                                     DEFESA CIVIL SOMOS TODOS NÓS!
69         2825.0                                      COORDENAÇÃO, GESTÃO E ARTICULAÇÃO DO GOVERNO
70         2831.0                     POLÍTICA SOBRE DROGAS E TRANSFORMAÇÃO DE CENAS ABERTAS DE USO
71         2832.0         REDE PARA PROMOÇÃO DA CIDADANIA E ENFRENTAMENTO DA VULNERABILIDADE SOCIAL
72         2930.0                                                                COMUNICAÇÃO SOCIAL
73         2931.0                                                              APOIO ADMINISTRATIVO
74         2990.0                     DESENVOLVIMENTO DE AÇÕES DECORRENTES DE EMENDAS PARLAMENTARES
75         3500.0                                                    POLÍTICA DE ASSISTÊNCIA SOCIAL
76         3518.0                                     POLÍTICA DE SEGURANÇA ALIMENTAR E NUTRICIONAL
77         3519.0                     MELHORIA DA GESTÃO E DA OFERTA DAS POLÍTICAS PÚBLICAS DA SEDS
78         3521.0                                               SUPERAÇÃO DA VULNERABILIDADE SOCIAL
79         3703.0         PLANEJAMENTO, GESTÃO ESTRATÉGICA E MODERNIZAÇÃO DO TRANSPORTE - PITU VIVO
80         3706.0       EXPANSÃO, MODERNIZ. E GESTÃO DO TRANSP. BAIXA/MÉDIA CAPACID.-PITU EM MARCHA
81         3707.0         EXP., MODERNIZ. E OPER. TRANSP. POR TRENS METROPOLITANOS - PITU EM MARCHA
82         3708.0        EXPANSÃO, MODERNIZAÇÃO E OPERAÇÃO DO TRANSPORTE METROVIÁRIO-PITU EM MARCHA
83         3709.0                                           RENOVAÇÃO DO COMPLEXO TURÍSTICO DA EFCJ
84         3815.0  GESTÃO DA CUSTÓDIA E REINTEGRAÇÃO SOCIAL DA POP.PENAL,EGRESSOS E SEUS FAMILIARES
85         3935.0                            DESENVOLVIMENTO DE PARCERIAS EM INVESTIMENTOS (PPI-SP)
86         3936.0  DESENVOLVIMENTO E EXCELÊNCIA  DA PRESTAÇÃO DOS SERVIÇOS DE TRANSPORTE  DELEGADOS
87         3937.0             REGULAÇÃO E FISCALIZAÇÃO DOS SERVIÇOS PÚBLICOS DELEGADOS DE SAO PAULO
88         4001.0                                                               ADVOCACIA DO ESTADO
89         4004.0                                              CAPACITAÇÃO E APERFEIÇOAMENTO DA PGE
90         4113.0                              ESPORTE E LAZER ATIVO NO PRESENTE COM FOCO NO FUTURO
91         4114.0                                                                SAO PAULO OLIMPICO
92         4200.0                  ASSISTÊNCIA JURÍDICA, INTEGRAL E GRATUITA ÀS PESSOAS VULNERÁVEIS
93         4704.0                                 EQUIDADE DE DIREITOS PARA PESSOAS COM DEFICIÊNCIA
94         4805.0      CIÊNCIA, TECNOLOGIA E INOVAÇÃO PARA O DESENVOLVIMENTO DO ESTADO DE SÃO PAULO
95         4806.0                                        DESENVOLVIMENTO DA CIÊNCIA E DA TECNOLOGIA
96         4807.0                                            ENSINO SUPERIOR NO ESTADO DE SÃO PAULO
97         4808.0                       INOVAÇÃO E TECNOLOGIA PARA INSTITUIÇÕES PÚBLICAS E PRIVADAS
98         4809.0                  PROGRAMA ESTADUAL DE EDUCAÇÃO PROFISSIONAL TÉCNICA E TECNOLÓGICA
99         5005.0                      PROMOÇÃO E DESENVOLVIMENTO DO TURISMO NO ESTADO DE SÃO PAULO
100        5126.0                                                DESENVOLVIMENTO REGIONAL INTEGRADO
101        5127.0                     ASSESSORAMENTO, COORDENAÇÃO E ARTICULAÇÃO POLITICA DO GOVERNO
102        5201.0                                     INSERÇÃO INTERNACIONAL DO ESTADO DE SÃO PAULO
103        5300.0                                            TRANSFORMAÇÃO E MODERNIZAÇÃO DA GESTÃO
104        5302.0                                             TRANSFORMAÇÃO PARA UM GOVERNO DIGITAL
105        5303.0   GESTÃO DO REGIME PRÓPRIO DE PREVIDÊNCIA E DO SISTEMA DE PROTEÇÃO SOCIAL MILITAR
106        5304.0                                                  EFICIÊNCIA PARA TODOS: DETRAN-SP
107        5305.0                                   ASSISTÊNCIA MÉDICA AO SERVIDOR PÚBLICO ESTADUAL
108        5400.0                               CONTROLE INTERNO, INTEGRIDADE E COMBATE À CORRUPÇÃO
109        9999.0                                                           RESERVA DE CONTINGÊNCIA
110           NaN                                                                               NaN
